structure d50
trjconv_1hsi_345.pdb 4.75601724135
trjconv_1hsi_644.pdb 4.60272745228
trjconv_1hsi_460.pdb 4.6410128205
trjconv_1hsi_462.pdb 4.7620478788
trjconv_1hsi_487.pdb 4.97242395618
trjconv_1hsi_869.pdb 4.68617114498
trjconv_1hsi_696.pdb 5.60879666239
trjconv_1hsi_196.pdb 4.82430305847
trjconv_1hsi_727.pdb 5.20208612001
trjconv_1hsi_381.pdb 4.65940983387
trjconv_1hsi_557.pdb 4.78995824616
trjconv_1hsi_997.pdb 5.30179214983
trjconv_1hsi_33.pdb 5.18524830649
trjconv_1hsi_750.pdb 5.52349527021
trjconv_1hsi_575.pdb 4.92959430379
trjconv_1hsi_450.pdb 4.82977225136
trjconv_1hsi_636.pdb 4.75330411398
trjconv_1hsi_788.pdb 4.88983639808
trjconv_1hsi_42.pdb 5.12903499696
trjconv_1hsi_695.pdb 4.91687909146
trjconv_1hsi_681.pdb 4.69925526014
trjconv_1hsi_454.pdb 4.88422972433
trjconv_1hsi_821.pdb 4.49823298641
trjconv_1hsi_243.pdb 4.78992693055
trjconv_1hsi_206.pdb 4.42747106145
trjconv_1hsi_32.pdb 5.43075501197
trjconv_1hsi_819.pdb 5.0200597606
trjconv_1hsi_127.pdb 5.08756326742
trjconv_1hsi_195.pdb 4.68011751989
trjconv_1hsi_57.pdb 4.81732290801
trjconv_1hsi_626.pdb 4.74731503063
trjconv_1hsi_377.pdb 4.99340565146
trjconv_1hsi_467.pdb 4.89708076307
trjconv_1hsi_984.pdb 4.84622533525
trjconv_1hsi_933.pdb 4.65709136694
trjconv_1hsi_99.pdb 4.91391900625
trjconv_1hsi_203.pdb 5.07244516974
trjconv_1hsi_334.pdb 4.88780114162
trjconv_1hsi_896.pdb 5.17304552464
trjconv_1hsi_548.pdb 5.39704548804
trjconv_1hsi_22.pdb 5.39437670171
trjconv_1hsi_667.pdb 4.62702928454
trjconv_1hsi_536.pdb 5.03770781209
trjconv_1hsi_573.pdb 4.99888987676
trjconv_1hsi_549.pdb 4.77633750901
trjconv_1hsi_329.pdb 5.395081093
trjconv_1hsi_138.pdb 5.32456570999
trjconv_1hsi_19.pdb 4.88001024589
trjconv_1hsi_249.pdb 4.31168180644
trjconv_1hsi_698.pdb 5.58801395847
trjconv_1hsi_470.pdb 5.00964070568
trjconv_1hsi_366.pdb 4.9911321361
trjconv_1hsi_522.pdb 5.52005434756
trjconv_1hsi_200.pdb 4.56705594448
trjconv_1hsi_737.pdb 5.03183863016
trjconv_1hsi_638.pdb 4.56974835193
trjconv_1hsi_857.pdb 5.09096258089
trjconv_1hsi_625.pdb 4.58700337911
trjconv_1hsi_884.pdb 5.11395150544
trjconv_1hsi_322.pdb 5.04266794465
trjconv_1hsi_397.pdb 5.20099990386
trjconv_1hsi_878.pdb 5.13043857774
trjconv_1hsi_919.pdb 6.10479319879
trjconv_1hsi_751.pdb 5.45716043378
trjconv_1hsi_281.pdb 4.69642417164
trjconv_1hsi_364.pdb 5.19850940174
trjconv_1hsi_838.pdb 5.16041664985
trjconv_1hsi_541.pdb 5.26289844097
trjconv_1hsi_18.pdb 5.13145203622
trjconv_1hsi_537.pdb 5.05625355377
trjconv_1hsi_308.pdb 4.6282718157
trjconv_1hsi_565.pdb 5.04986138424
trjconv_1hsi_566.pdb 6.81149763268
trjconv_1hsi_94.pdb 5.2984714777
trjconv_1hsi_420.pdb 5.21415381438
trjconv_1hsi_297.pdb 5.4465218259
trjconv_1hsi_298.pdb 4.95937496062
trjconv_1hsi_301.pdb 4.88488485023
trjconv_1hsi_650.pdb 5.6970255397
trjconv_1hsi_833.pdb 4.92797118498
trjconv_1hsi_815.pdb 5.90265194637
trjconv_1hsi_376.pdb 4.92781899018
trjconv_1hsi_791.pdb 4.39923857048
